"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"03126",1881-01-01,2020-06-09,76,52.1029,11.5827,"Magdeburg","Sachsen-Anhalt"
"03137",1948-01-01,2020-06-09,195,49.9656,8.2139,"Mainz-Lerchenberg (ZDF)","Rheinland-Pfalz"
"03155",1961-11-01,2020-06-09,413,50.1015,6.8009,"Manderscheid-Sonnenhof","Rheinland-Pfalz"
"03158",1985-01-01,2020-06-09,12,52.5468,14.5452,"Manschnow","Brandenburg"
"03164",1946-01-01,2020-06-09,187,50.8492,8.7746,"C<U+00F6>lbe, Kr. Marburg-Biedenkopf","Hessen"
"03166",1956-01-01,2020-06-09,639,50.651,13.1469,"Marienberg","Sachsen"
"03196",1902-01-01,2020-06-09,81,53.3223,11.9319,"Marnitz","Mecklenburg-Vorpommern"
"03204",1983-11-01,2020-06-09,429,50.7335,10.8815,"Martinroda","Th<U+00FC>ringen"
"03231",1979-01-01,2020-06-09,450,50.5612,10.3771,"Meiningen","Th<U+00FC>ringen"
"03234",1956-06-01,2020-06-09,158,51.1294,13.4328,"Garsebach bei Mei<U+00DF>en","Sachsen"
"03244",1961-01-01,2020-06-09,615,47.982,10.1384,"Memmingen","Bayern"
"03254",1973-01-01,2020-06-09,19,52.7156,7.3176,"Meppen","Niedersachsen"
"03257",1947-01-01,2020-06-09,250,49.4773,9.7622,"Mergentheim, Bad-Neunkirchen","Baden-W<U+00FC>rttemberg"
"03271",1941-01-01,2020-06-09,314,48.8548,12.9189,"Metten","Bayern"
"03284",1987-01-01,2020-06-09,240,49.6691,9.0085,"Michelstadt","Hessen"
"03319",2006-09-01,2020-06-09,239,49.7644,9.253,"R<U+00F6>llbach","Bayern"
"03321",2008-04-25,2020-06-09,77,51.1313,6.3609,"M<U+00F6>nchengladbach-Hilderath","Nordrhein-Westfalen"
"03340",1938-01-01,2020-06-09,265,50.4383,7.8061,"Montabaur","Rheinland-Pfalz"
"03348",1990-07-01,2020-04-30,240,51.7209,9.8352,"Moringen-Lutterbeck","Niedersachsen"
"03366",1953-01-01,2020-06-09,406,48.2791,12.5024,"M<U+00FC>hldorf","Bayern"
"03376",1949-01-01,2020-06-09,63,52.5176,14.1232,"M<U+00FC>ncheberg","Brandenburg"
"03379",1954-06-01,2020-06-09,515,48.1631,11.5429,"M<U+00FC>nchen-Stadt","Bayern"
"03402",1946-01-01,2020-06-09,750,48.3851,9.4837,"M<U+00FC>nsingen-Apfelstetten","Baden-W<U+00FC>rttemberg"
"03442",1947-01-01,2020-06-09,149,50.3574,8.7506,"Nauheim, Bad","Hessen"
"03484",1973-01-01,2020-06-09,380,48.7086,11.2147,"Neuburg/Donau (Flugplatz)","Bayern"
"03485",1991-06-01,2020-06-09,486,48.3115,10.3773,"Neuburg/Kammel-Langenhaslach","Bayern"
