"Name","IdLandkreis","LAT","LON","closest_station_id","km_to_closest_station"
"St<U+00E4>dteregion Aachen","05334",50.7275046127,6.21672721805,"15000",15.6685493681718
"Nordsachsen","14730",51.4728650798,12.7793967591,"02641",10.1687031826159
"S<U+00E4>chsische Schweiz-Osterzgebirge","14628",50.9167179421,13.8734340504,"00991",11.575911608922
"L<U+00FC>beck","01003",53.8723167338,10.7272831058,"03086",7.99246073540779
"Ravensburg","08436",47.8250441153,9.77989455833,"05319",11.5432506002265
"Cham","09372",49.2370651553,12.6954795471,"04559",9.8795024129811
"Ebersberg","09175",48.0761776106,11.9131721198,"01103",6.12474345105635
"Freyung-Grafenau","09272",48.8268581711,13.513210064,"01735",9.4577555908225
"Hof","09475",50.2732120456,11.8191928507,"02261",5.93760329209069
"Landshut","09274",48.5577554134,12.1953924179,"13710",4.90241368290804
"Passau","09275",48.5586304532,13.3666035859,"05856",1.80114982556794
"Schwandorf","09376",49.3680333605,12.2530847621,"04592",12.8435332486908
"Uckermark","12073",53.2059030724,13.8612986206,"01869",13.1000482710597
"Oldenburg","03403",53.1445781697,8.22435903936,"01503",23.3113318198143
"Salzgitter","03102",52.124474442,10.3707262339,"07099",12.744377124976
"Ennepe-Ruhr-Kreis","05954",51.3468447914,7.32402933363,"13700",1.95421626631803
"Viersen","05166",51.2828202383,6.32612051327,"05064",8.22192621697976
"Vogtlandkreis","14523",50.4567929391,12.2349996186,"03946",7.94729718240922
"Ilm-Kreis","16070",50.7379337622,10.9663574908,"03204",5.99888148362389
"Pforzheim","08231",48.8764005469,8.71277909336,"03925",6.3906610412773
"Aschaffenburg","09661",49.9638560444,9.14581192433,"04411",13.7223401776741
"Coburg","09463",50.2639516155,10.9644386599,"00867",4.75397599835294
"Erlangen","09562",49.5823292133,10.9781449629,"01279",7.79085139087813
"Hof","09464",50.3107956285,11.8972631725,"02261",1.52084811464595
"Miltenberg","09676",49.7572905887,9.23471658769,"03319",1.53458101780352
"Schweinfurt","09662",50.0470080022,10.2208919522,"06347",5.58739113780763
"Wunsiedel im Fichtelgebirge","09479",50.0901405328,12.0418721069,"06196",7.63557695780486
"Region Hannover","03241",52.4219370696,9.71979904802,"02014",5.51606381833532
"Schaumburg","03257",52.2927923256,9.20656190484,"00769",8.10671748607177
"Bielefeld","05711",52.0109486234,8.54074389731,"07106",8.86334743912516
"Leverkusen","05316",51.0530662603,7.01547411084,"02968",7.56479954017034
"Rhein-Kreis Neuss","05162",51.1435712356,6.64932316692,"01078",18.8966847712144
"Rhein-Sieg-Kreis","05382",50.7606389137,7.23457302819,"00603",4.1027553483378
"Ludwigshafen am Rhein","07314",49.4820876658,8.39684453576,"05906",11.9927165904115
